93,368,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
94,372,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
95,833,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
96,376,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
97,380,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
98,388,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
99,392,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
100,400,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
101,398,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
102,404,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
103,296,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
104,408,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
105,410,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
106,414,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
107,417,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
108,418,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
109,428,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
110,422,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
111,426,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
112,430,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
113,434,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
114,438,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
115,440,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
116,442,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
117,450,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
118,454,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
119,458,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
120,462,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
121,466,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
122,470,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
123,584,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
124,474,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
125,478,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
126,480,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
127,175,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
128,484,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
129,583,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
130,498,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
131,492,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
132,496,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
133,499,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
134,500,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
135,504,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
136,508,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
137,104,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
138,516,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
139,520,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
140,524,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
141,528,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
142,540,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
143,554,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
144,558,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
145,562,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
146,566,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
147,570,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
148,574,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
149,807,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
150,578,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
151,512,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
152,586,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
153,585,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
154,591,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
155,598,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
156,600,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
157,604,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
158,608,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
159,612,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
160,616,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
161,620,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
162,630,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
163,634,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
164,642,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
165,643,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
166,646,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
167,654,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
168,666,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
169,882,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,
